$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12408, thi_cuoiky-O110-23521634-VNYCH, 2024-01-11 00:58:10, 2024-01-11 00:58:10, 8839, 790, 0
12409, thi_cuoiky-O11-23520322-5S0NP, 2024-01-11 00:58:22, 2024-01-11 00:58:22, 9184, 802, 0
12410, thi_cuoiky-O11-19520631-TK9BE, 2024-01-11 00:58:27, 2024-01-11 00:58:27, 6323, 807, 0
12411, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 00:58:28, 2024-01-11 00:58:28, 1460, 808, 0
12412, thi_cuoiky-O112-23521658-LS9TL, 2024-01-11 00:58:30, 2024-01-11 00:58:31, 1129, 810, 1
12413, thi_cuoiky-O112-23520064-9WRT1, 2024-01-11 00:58:34, 2024-01-11 00:58:35, 9646, 814, 1
12414, thi_cuoiky-O112-23521544-4UHDV, 2024-01-11 00:58:38, 2024-01-11 00:58:38, 13933, 818, 0
12415, thi_cuoiky-O11-23520701-P7KJN, 2024-01-11 00:58:40, 2024-01-11 00:58:40, 9876, 820, 0
12416, thi_cuoiky-O110-23521641-2U084, 2024-01-11 00:58:41, 2024-01-11 00:58:42, 7429, 821, 1
12417, thi_cuoiky-O110-23520303-DX1DD, 2024-01-11 00:58:42, 2024-01-11 00:58:43, 1255, 822, 1
12418, thi_cuoiky-O11-23520442-C21O2, 2024-01-11 00:58:43, 2024-01-11 00:58:43, 19395, 823, 0
12419, thi_cuoiky-O11-23520307-YY4G2, 2024-01-11 00:58:43, 2024-01-11 00:58:43, 32429, 823, 0
12420, thi_cuoiky-O112-23520155-57HHB, 2024-01-11 00:58:50, 2024-01-11 00:58:51, 7089, 830, 1
12421, thi_cuoiky-O11-23520744-EVXEC, 2024-01-11 00:58:52, 2024-01-11 00:58:53, 18277, 832, 1
12422, thi_cuoiky-O11-23520453-RBLAK, 2024-01-11 00:58:58, 2024-01-11 00:58:58, 6716, 838, 0
12423, thi_cuoiky-O112-23521676-CH9B6, 2024-01-11 00:59:07, 2024-01-11 00:59:07, 7347, 847, 0
12424, thi_cuoiky-O112-23521136-CKR4R, 2024-01-11 00:59:08, 2024-01-11 00:59:08, 7615, 848, 0
12425, thi_cuoiky-O110-23520610-QT5N7, 2024-01-11 00:59:09, 2024-01-11 00:59:10, 7944, 849, 1
12426, thi_cuoiky-O11-23520322-5S0NP, 2024-01-11 00:59:10, 2024-01-11 00:59:10, 10266, 850, 0
12427, thi_cuoiky-O110-23520303-DX1DD, 2024-01-11 00:59:12, 2024-01-11 00:59:12, 7465, 852, 0
12428, thi_cuoiky-O112-23521220-XNYTN, 2024-01-11 00:59:13, 2024-01-11 00:59:13, 10233, 853, 0
12429, thi_cuoiky-O110-23521483-XN81F, 2024-01-11 00:59:13, 2024-01-11 00:59:14, 7580, 853, 1
12430, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 00:59:15, 2024-01-11 00:59:16, 19239, 855, 1
